movieName,rank2016,roleType,gender,typeCount,domesticBoxOffice,openingBoxOffice,passedBechdel
Batman v Superman: Dawn of Justice,8,Cameo,Female,5,330360194.0,166007347.0,passed
Batman v Superman: Dawn of Justice,8,Cameo,Male,8,330360194.0,166007347.0,passed
Batman v Superman: Dawn of Justice,8,Cameo,Unknown,1,330360194.0,166007347.0,passed
Batman v Superman: Dawn of Justice,8,Leading,Female,2,330360194.0,166007347.0,passed
Batman v Superman: Dawn of Justice,8,Leading,Male,2,330360194.0,166007347.0,passed
Batman v Superman: Dawn of Justice,8,Supporting,Female,29,330360194.0,166007347.0,passed
Batman v Superman: Dawn of Justice,8,Supporting,Male,68,330360194.0,166007347.0,passed
Batman v Superman: Dawn of Justice,8,Supporting,Unknown,7,330360194.0,166007347.0,passed
Captain America: Civil War,3,Cameo,Male,1,408084349.0,179139142.0,failed
Captain America: Civil War,3,Lead Ensemble Member,Female,2,408084349.0,179139142.0,failed
Captain America: Civil War,3,Lead Ensemble Member,Male,7,408084349.0,179139142.0,failed
Captain America: Civil War,3,Lead Ensemble Member,Unknown,1,408084349.0,179139142.0,failed
Captain America: Civil War,3,Supporting,Female,4,408084349.0,179139142.0,failed
Captain America: Civil War,3,Supporting,Male,7,408084349.0,179139142.0,failed
Captain America: Civil War,3,Supporting,Unknown,4,408084349.0,179139142.0,failed
Deadpool,6,Cameo,Male,1,363070709.0,132434639.0,passed
Deadpool,6,Leading,Male,1,363070709.0,132434639.0,passed
Deadpool,6,Supporting,Female,11,363070709.0,132434639.0,passed
Deadpool,6,Supporting,Male,16,363070709.0,132434639.0,passed
Deadpool,6,Supporting,Unknown,5,363070709.0,132434639.0,passed
Doctor Strange,13,Cameo,Male,2,232641920.0,85058311.0,passed
Doctor Strange,13,Lead Ensemble Member,Female,2,232641920.0,85058311.0,passed
Doctor Strange,13,Lead Ensemble Member,Male,4,232641920.0,85058311.0,passed
Doctor Strange,13,Supporting,Female,6,232641920.0,85058311.0,passed
Doctor Strange,13,Supporting,Male,10,232641920.0,85058311.0,passed
Doctor Strange,13,Supporting,Unknown,5,232641920.0,85058311.0,passed
Fantastic Beasts and Where to Find Them,12,Cameo,Male,1,234037575.0,74403387.0,failed
Fantastic Beasts and Where to Find Them,12,Lead Ensemble Member,Female,2,234037575.0,74403387.0,failed
Fantastic Beasts and Where to Find Them,12,Lead Ensemble Member,Male,5,234037575.0,74403387.0,failed
Fantastic Beasts and Where to Find Them,12,Lead Ensemble Member,Unknown,2,234037575.0,74403387.0,failed
Fantastic Beasts and Where to Find Them,12,Supporting,Female,14,234037575.0,74403387.0,failed
Fantastic Beasts and Where to Find Them,12,Supporting,Male,34,234037575.0,74403387.0,failed
Fantastic Beasts and Where to Find Them,12,Supporting,Unknown,3,234037575.0,74403387.0,failed
Finding Dory,2,Cameo,Female,1,486295561.0,135060273.0,failed
Finding Dory,2,Cameo,Male,1,486295561.0,135060273.0,failed
Finding Dory,2,Leading,Female,1,486295561.0,135060273.0,failed
Finding Dory,2,Supporting,Female,6,486295561.0,135060273.0,failed
Finding Dory,2,Supporting,Male,16,486295561.0,135060273.0,failed
Finding Dory,2,Supporting,Unknown,3,486295561.0,135060273.0,failed
Hidden Figures,14,Lead Ensemble Member,Female,4,169607287.0,515499.0,failed
Hidden Figures,14,Lead Ensemble Member,Male,2,169607287.0,515499.0,failed
Hidden Figures,14,Supporting,Female,28,169607287.0,515499.0,failed
Hidden Figures,14,Supporting,Male,53,169607287.0,515499.0,failed
